# Results of applying herd to all litmus tests with "exists" conditions.
# 
# herd: 7.56+03, Rev: exported
# herd -model aarch64.cat TEST.litmus 
#
# Tests where "Always" or "Sometimes" with "exists" was observed are marked "Allow".
# Tests where "Never" with "exists" was observed are marked "Forbid".
# Tests where "Always" with "forall" was observed are marked "Allow".
# Tests where "Sometimes" or "Never" with "forall" was observed are marked "Forbid".
# 
# The tests where executed using runall-HERD7.py.
# Date: 230624-04:41

MP+rfipa-poap+addr Allow
SB+rfi-pos Allow
LB+addrs+WW Forbid
LB+datas+WW Allow
LB+addrs+RW Forbid
LB+addrs Forbid
LB+ctrls Forbid
IRIW Allow
IRIW+addrs Forbid
WRC+addrs Forbid
R+po-addr-ctrlpl+pola Forbid
R+po-addr-ctrlpl+rfila Forbid
R+po-addr-datapl+pola Forbid
R+po-addr-datapl+rfila Forbid
R+po-addr-fripl+pola Forbid
R+po-addr-fripl+rfila Forbid
R+po-addr-popl+pola Forbid
R+po-addr-popl+rfila Forbid
R+po-ctrl-ctrlpl+pola Forbid
R+po-ctrl-ctrlpl+rfila Forbid
R+po-ctrl-datapl+pola Forbid
R+po-ctrl-datapl+rfila Forbid
R+po-ctrl-fripl+pola Forbid
R+po-ctrl-fripl+rfila Forbid
R+po-ctrlpl+pola Forbid
R+po-ctrlpl+polp-ctrlpa Forbid
R+po-ctrlpl+polp-popa001 Forbid
R+po-ctrlpl+polp-popa Forbid
R+po-ctrlpl+polp-pospa Forbid
R+po-ctrlpl+polp-rfipa Forbid
R+po-ctrlpl+rfila Forbid
R+po-ctrlpl+rfilp-ctrlpa Forbid
R+po-ctrlpl+rfilp-popa Forbid
R+po-ctrlpl+rfilp-pospa Forbid
R+po-ctrlpl+wsilp-popa Forbid
R+po-ctrlpl+wsilp-rfipa Forbid
R+po-ctrl-popl+pola001 Forbid
R+po-ctrl-popl+pola Forbid
R+po-ctrl-popl+rfila001 Forbid
R+po-ctrl-popl+rfila Forbid
R+po-ctrl-wsipl+pola Forbid
R+po-ctrl-wsipl+rfila Forbid
R+po-datapl+pola Forbid
R+po-datapl+polp-ctrlpa Forbid
R+po-datapl+polp-popa001 Forbid
R+po-datapl+polp-popa Forbid
R+po-datapl+polp-pospa Forbid
R+po-datapl+polp-rfipa Forbid
R+po-datapl+rfila Forbid
R+po-datapl+rfilp-ctrlpa Forbid
R+po-datapl+rfilp-popa Forbid
R+po-datapl+rfilp-pospa Forbid
R+po-datapl+wsilp-popa Forbid
R+po-datapl+wsilp-rfipa Forbid
R+po-data-popl+pola Forbid
R+po-data-popl+rfila Forbid
R+po-data-wsipl+pola Forbid
R+po-data-wsipl+rfila Forbid
R+po-fripl+pola Forbid
R+po-fripl+polp-ctrlpa Forbid
R+po-fripl+polp-popa001 Forbid
R+po-fripl+polp-popa Forbid
R+po-fripl+polp-pospa Forbid
R+po-fripl+polp-rfipa Forbid
R+po-fripl+rfilp-ctrlpa Forbid
R+po-fripl+rfilp-popa Forbid
R+po-fripl+wsilp-popa Forbid
R+po-fri-popl+pola Forbid
R+po-fri-popl+rfila Forbid
R+popl+polp-addr-ctrlpa Forbid
R+popl+polp-addr-popa Forbid
R+popl+polp-addr-pospa Forbid
R+popl+polp-ctrlpa Forbid
R+popl+polp-ctrl-popa001 Forbid
